DX DESCRIPTION,CUI
Other rheumatoid arthritis with rheumatoid factor of unspecified hand,C2889371
Other rheumatoid arthritis with rheumatoid factor of right hip,C2889373
Other rheumatoid arthritis with rheumatoid factor of left hip,C2889374
Other rheumatoid arthritis with rheumatoid factor of unspecified hip,C2889375
Other rheumatoid arthritis with rheumatoid factor of right knee,C2889377
Other rheumatoid arthritis with rheumatoid factor of left knee,C2889378
Other rheumatoid arthritis with rheumatoid factor of unspecified knee,C2889379
Other rheumatoid arthritis with rheumatoid factor of right ankle and foot,C2889381
Other rheumatoid arthritis with rheumatoid factor of left ankle and foot,C2889382
Other rheumatoid arthritis with rheumatoid factor of unspecified ankle and foot,C2889383
Other rheumatoid arthritis with rheumatoid factor of multiple sites,C2889384
Other rheumatoid arthritis with rheumatoid factor of other specified site,C5384735
"Rheumatoid arthritis with rheumatoid factor, unspecified",C2889385
"Rheumatoid arthritis without rheumatoid factor, unspecified site",C2889387
"Rheumatoid arthritis without rheumatoid factor, right shoulder",C2889388
"Rheumatoid arthritis without rheumatoid factor, left shoulder",C2889389
"Rheumatoid arthritis without rheumatoid factor, unspecified shoulder",C2889390
"Rheumatoid arthritis without rheumatoid factor, right elbow",C2889392
"Rheumatoid arthritis without rheumatoid factor, left elbow",C2889393
"Rheumatoid arthritis without rheumatoid factor, unspecified elbow",C2889391
"Rheumatoid arthritis without rheumatoid factor, right wrist",C2889394
"Rheumatoid arthritis without rheumatoid factor, left wrist",C2889395
"Rheumatoid arthritis without rheumatoid factor, unspecified wrist",C2889396
"Rheumatoid arthritis without rheumatoid factor, right hand",C2889398
"Rheumatoid arthritis without rheumatoid factor, left hand",C2889399
"Rheumatoid arthritis without rheumatoid factor, unspecified hand",C2889400
"Rheumatoid arthritis without rheumatoid factor, right hip",C2889402
"Rheumatoid arthritis without rheumatoid factor, left hip",C2889403
"Rheumatoid arthritis without rheumatoid factor, unspecified hip",C2889404
"Rheumatoid arthritis without rheumatoid factor, right knee",C2889405
"Rheumatoid arthritis without rheumatoid factor, left knee",C2889406
"Rheumatoid arthritis without rheumatoid factor, unspecified knee",C2889407
"Rheumatoid arthritis without rheumatoid factor, right ankle and foot",C2889409
"Rheumatoid arthritis without rheumatoid factor, left ankle and foot",C2889410
"Rheumatoid arthritis without rheumatoid factor, unspecified ankle and foot",C2889411
"Rheumatoid arthritis without rheumatoid factor, vertebrae",C2889412
"Rheumatoid arthritis without rheumatoid factor, multiple sites",C2889413
"Rheumatoid arthritis without rheumatoid factor, other specified site",C5384736
Adult-onset Still's disease,C0085253
"Rheumatoid bursitis, unspecified site",C0451843
"Rheumatoid bursitis, right shoulder",C2889414
"Rheumatoid bursitis, left shoulder",C2889415
"Rheumatoid bursitis, unspecified shoulder",C2889416
"Rheumatoid bursitis, right elbow",C2889418
"Rheumatoid bursitis, left elbow",C2889419
"Rheumatoid bursitis, unspecified elbow",C2889420
"Rheumatoid bursitis, right wrist",C2889421
"Rheumatoid bursitis, left wrist",C2889422
"Rheumatoid bursitis, unspecified wrist",C2889423
"Rheumatoid bursitis, right hand",C2889424
"Rheumatoid bursitis, left hand",C2889425
"Rheumatoid bursitis, unspecified hand",C2889426
"Rheumatoid bursitis, right hip",C2889428
"Rheumatoid bursitis, left hip",C2889429
"Rheumatoid bursitis, unspecified hip",C2889430
"Rheumatoid bursitis, right knee",C2889432
"Rheumatoid bursitis, left knee",C2889433
"Rheumatoid bursitis, unspecified knee",C2889434
"Rheumatoid bursitis, right ankle and foot",C2889435
"Rheumatoid bursitis, left ankle and foot",C2889436
"Rheumatoid bursitis, unspecified ankle and foot",C2889437
"Rheumatoid bursitis, vertebrae",C2889438
"Rheumatoid bursitis, multiple sites",C0837587
"Rheumatoid nodule, unspecified site",C0837606
"Rheumatoid nodule, right shoulder",C2889440
"Rheumatoid nodule, left shoulder",C2889441
"Rheumatoid nodule, unspecified shoulder",C2889442
"Rheumatoid nodule, right elbow",C2889444
"Rheumatoid nodule, left elbow",C2889445
"Rheumatoid nodule, unspecified elbow",C2889446
"Rheumatoid nodule, right wrist",C2889448
"Rheumatoid nodule, left wrist",C2889449
"Rheumatoid nodule, unspecified wrist",C2889450
"Rheumatoid nodule, right hand",C2889451
"Rheumatoid nodule, left hand",C2889452
"Rheumatoid nodule, unspecified hand",C2889453
"Rheumatoid nodule, right hip",C2889455
"Rheumatoid nodule, left hip",C2889456
"Rheumatoid nodule, unspecified hip",C2889457
"Rheumatoid nodule, right knee",C2889459
"Rheumatoid nodule, left knee",C2889460
"Rheumatoid nodule, unspecified knee",C2889461
"Rheumatoid nodule, right ankle and foot",C2889462
"Rheumatoid nodule, left ankle and foot",C2889463
"Rheumatoid nodule, unspecified ankle and foot",C2889464
"Rheumatoid nodule, vertebrae",C2889465
"Rheumatoid nodule, multiple sites",C0837597
Inflammatory polyarthropathy,C0162323
"Other specified rheumatoid arthritis, unspecified site",C0477542
"Other specified rheumatoid arthritis, right shoulder",C2889467
"Other specified rheumatoid arthritis, left shoulder",C2889468
"Other specified rheumatoid arthritis, unspecified shoulder",C2889469
"Other specified rheumatoid arthritis, right elbow",C2889471
"Other specified rheumatoid arthritis, left elbow",C2889472
"Other specified rheumatoid arthritis, unspecified elbow",C2889473
"Other specified rheumatoid arthritis, right wrist",C2889475
"Other specified rheumatoid arthritis, left wrist",C2889476
"Other specified rheumatoid arthritis, unspecified wrist",C2889477
"Other specified rheumatoid arthritis, right hand",C2889478
"Other specified rheumatoid arthritis, left hand",C2889479
"Other specified rheumatoid arthritis, unspecified hand",C2889480
"Other specified rheumatoid arthritis, right hip",C2889482
"Other specified rheumatoid arthritis, left hip",C2889483
"Other specified rheumatoid arthritis, unspecified hip",C2889484
"Other specified rheumatoid arthritis, right knee",C2889486
"Other specified rheumatoid arthritis, left knee",C2889487
"Other specified rheumatoid arthritis, unspecified knee",C2889488
"Other specified rheumatoid arthritis, right ankle and foot",C2889489
"Other specified rheumatoid arthritis, left ankle and foot",C2889490
"Other specified rheumatoid arthritis, unspecified ankle and foot",C2889491
"Other specified rheumatoid arthritis, vertebrae",C2889492
"Other specified rheumatoid arthritis, multiple sites",C0837617
"Other specified rheumatoid arthritis, other specified site",C5384737
"Rheumatoid arthritis, unspecified",C0003873
Unspecified juvenile rheumatoid arthritis of unspecified site,C2889525
"Unspecified juvenile rheumatoid arthritis, right shoulder",C2889526
"Unspecified juvenile rheumatoid arthritis, left shoulder",C2889527
"Unspecified juvenile rheumatoid arthritis, unspecified shoulder",C2889528
"Unspecified juvenile rheumatoid arthritis, right elbow",C2889529
"Unspecified juvenile rheumatoid arthritis, left elbow",C2889530
"Unspecified juvenile rheumatoid arthritis, unspecified elbow",C2889531
"Unspecified juvenile rheumatoid arthritis, right wrist",C2889532
"Unspecified juvenile rheumatoid arthritis, left wrist",C2889533
"Unspecified juvenile rheumatoid arthritis, unspecified wrist",C2889534
"Unspecified juvenile rheumatoid arthritis, right hand",C2889535
"Unspecified juvenile rheumatoid arthritis, left hand",C2889536
"Unspecified juvenile rheumatoid arthritis, unspecified hand",C2889537
"Unspecified juvenile rheumatoid arthritis, right hip",C2889539
"Unspecified juvenile rheumatoid arthritis, left hip",C2889540
"Unspecified juvenile rheumatoid arthritis, unspecified hip",C2889541
"Unspecified juvenile rheumatoid arthritis, right knee",C2889542
"Unspecified juvenile rheumatoid arthritis, left knee",C2889543
"Unspecified juvenile rheumatoid arthritis, unspecified knee",C2889544
"Unspecified juvenile rheumatoid arthritis, right ankle and foot",C2889546
"Unspecified juvenile rheumatoid arthritis, left ankle and foot",C2889547
"Unspecified juvenile rheumatoid arthritis, unspecified ankle and foot",C2889548
"Unspecified juvenile rheumatoid arthritis, vertebrae",C2889549
"Unspecified juvenile rheumatoid arthritis, multiple sites",C2889550
"Unspecified juvenile rheumatoid arthritis, other specified site",C5384738
Juvenile ankylosing spondylitis,C0409675
"Juvenile rheumatoid arthritis with systemic onset, unspecified site",C1384600
"Juvenile rheumatoid arthritis with systemic onset, right shoulder",C2889551
"Juvenile rheumatoid arthritis with systemic onset, left shoulder",C2889552
"Juvenile rheumatoid arthritis with systemic onset, unspecified shoulder",C2889553
"Juvenile rheumatoid arthritis with systemic onset, right elbow",C2889555
"Juvenile rheumatoid arthritis with systemic onset, left elbow",C2889556
"Juvenile rheumatoid arthritis with systemic onset, unspecified elbow",C2889554
"Juvenile rheumatoid arthritis with systemic onset, right wrist",C2889557
"Juvenile rheumatoid arthritis with systemic onset, left wrist",C2889558
"Juvenile rheumatoid arthritis with systemic onset, unspecified wrist",C2889559
"Juvenile rheumatoid arthritis with systemic onset, right hand",C2889561
"Juvenile rheumatoid arthritis with systemic onset, left hand",C2889562
"Juvenile rheumatoid arthritis with systemic onset, unspecified hand",C2889560
"Juvenile rheumatoid arthritis with systemic onset, right hip",C2889564
"Juvenile rheumatoid arthritis with systemic onset, left hip",C2889565
"Juvenile rheumatoid arthritis with systemic onset, unspecified hip",C2889563
"Juvenile rheumatoid arthritis with systemic onset, right knee",C2889567
"Juvenile rheumatoid arthritis with systemic onset, left knee",C2889568
"Juvenile rheumatoid arthritis with systemic onset, unspecified knee",C2889566
"Juvenile rheumatoid arthritis with systemic onset, right ankle and foot",C2889570
"Juvenile rheumatoid arthritis with systemic onset, left ankle and foot",C2889571
"Juvenile rheumatoid arthritis with systemic onset, unspecified ankle and foot",C2889569
"Juvenile rheumatoid arthritis with systemic onset, vertebrae",C2889572
"Juvenile rheumatoid arthritis with systemic onset, multiple sites",C2889573
"Juvenile rheumatoid arthritis with systemic onset, other specified site",C5384739
Juvenile rheumatoid polyarthritis (seronegative),C2889574
"Pauciarticular juvenile rheumatoid arthritis, unspecified site",C0157917
"Pauciarticular juvenile rheumatoid arthritis, right shoulder",C2889575
"Pauciarticular juvenile rheumatoid arthritis, left shoulder",C2889576
"Pauciarticular juvenile rheumatoid arthritis, unspecified shoulder",C2889577
"Pauciarticular juvenile rheumatoid arthritis, right elbow",C2889578
"Pauciarticular juvenile rheumatoid arthritis, left elbow",C2889579
"Pauciarticular juvenile rheumatoid arthritis, unspecified elbow",C2889580
"Pauciarticular juvenile rheumatoid arthritis, right wrist",C2889581
"Pauciarticular juvenile rheumatoid arthritis, left wrist",C2889582
"Pauciarticular juvenile rheumatoid arthritis, unspecified wrist",C2889583
"Pauciarticular juvenile rheumatoid arthritis, right hand",C2889585
"Pauciarticular juvenile rheumatoid arthritis, left hand",C2889586
"Pauciarticular juvenile rheumatoid arthritis, unspecified hand",C2889587
"Pauciarticular juvenile rheumatoid arthritis, right hip",C2889588
"Pauciarticular juvenile rheumatoid arthritis, left hip",C2889589
"Pauciarticular juvenile rheumatoid arthritis, unspecified hip",C2889590
"Pauciarticular juvenile rheumatoid arthritis, right knee",C2889592
"Pauciarticular juvenile rheumatoid arthritis, left knee",C2889593
"Pauciarticular juvenile rheumatoid arthritis, unspecified knee",C2889594
"Pauciarticular juvenile rheumatoid arthritis, right ankle and foot",C2889595
"Pauciarticular juvenile rheumatoid arthritis, left ankle and foot",C2889596
"Pauciarticular juvenile rheumatoid arthritis, unspecified ankle and foot",C2889597
"Pauciarticular juvenile rheumatoid arthritis, vertebrae",C2889598
"Pauciarticular juvenile rheumatoid arthritis, other specified site",C5384740
"Other juvenile arthritis, unspecified site",C0837740
"Other juvenile arthritis, right shoulder",C2889600
"Other juvenile arthritis, left shoulder",C2889601
"Other juvenile arthritis, unspecified shoulder",C2889602
